title,link,date_raw,image,category
Шокирующий момент убийства Яны Легкодимовой опубликовало МВД,https://tengrinews.kz/crime/shokiruyuschiy-moment-ubiystva-yanyi-legkodimovoy-586433/,24 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586433/thumb_xts/photo_528892.jpg.webp,crime
Житель Актау очень вежливо сообщил об “актогеновой бомбе”: его задержали,https://tengrinews.kz/crime/jitel-aktau-ochen-vejlivo-soobschil-aktogenovoy-bombe-586425/,24 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586425/thumb_xts/photo_528878.jpg.webp,crime
Загадочную смерть семейной пары расследуют в Актобе,https://tengrinews.kz/crime/zagadochnuyu-smert-semeynoy-paryi-rassleduyut-v-aktobe-586242/,21 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586242/thumb_xts/photo_528674.jpg.webp,crime
Тайник с “январским“ оружием нашли под мостом в Алматы,https://tengrinews.kz/crime/taynik-s-yanvarskim-orujiem-nashli-pod-mostom-v-almatyi-586133/,20 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586133/thumb_xts/photo_528569.jpg.webp,crime
Мясо сомнительного качества продавали в Астане: полиция показала видео,https://tengrinews.kz/crime/myaso-somnitelnogo-kachestva-prodavali-astane-politsiya-586101/,19 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586101/thumb_xts/photo_528521.jpg.webp,crime
Педофил в Уральске мог воспользоваться халатностью акимата: заведено дело,https://tengrinews.kz/crime/pedofil-uralske-mog-vospolzovatsya-halatnostyu-akimata-586056/,19 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586056/thumb_xts/photo_528476.png.webp,crime
Дерзкое ограбление АЗС попало на видео в Актау,https://tengrinews.kz/crime/derzkoe-ograblenie-azs-popalo-na-video-v-aktau-585961/,18 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585961/thumb_xts/photo_528367.jpg.webp,crime
"Изнасиловал, убил, взял в заложники ребенка в Талгаре: очередное громкое дело дошло до суда",https://tengrinews.kz/crime/iznasiloval-ubil-vzyal-zalojniki-rebenka-talgare-ocherednoe-585947/,18 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585947/thumb_xts/photo_528347.png.webp,crime
Мужчина устроил перестрелку с полицией и погиб на юге Казахстана,https://tengrinews.kz/crime/mujchina-ustroil-perestrelku-politsiey-pogib-yuge-kazahstana-585931/,18 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585931/thumb_xts/photo_528334.jpg.webp,crime
Наказывать анонимные Telegram-каналы и штрафовать за мат в соцсетях хотят в Казахстане,https://tengrinews.kz/internet/nakazyivat-anonimnyie-telegram-kanalyi-shtrafovat-mat-585526/,13 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585526/thumb_xts/photo_527886.jpg.webp,internet
